sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-001588_YS_35	unnayanAt udAnaH ASirovfttiH
sp008-001589_YS_35	vyApI vyAna iti
sp008-001590_YS_35	tezAm praDAnam prARaH
sp008-001591_YS_35	udAnajayAt jalapaNka kaRwakAdizu asaNgaH utkrAntiSca prayARakAle Bavati
sp008-001592_YS_35	tAm vaSitvena pratipadyate
sp008-001593_YS_35	samAnajayAt prajvalanam
sp008-001594_YS_35	jitasamAnaH tejasaH upaDmAnam kftvA jvalati
sp008-001595_YS_35	SrotrAkASayoH sambanDasaMyamAddivyam Srotram
sp008-001596_YS_35	sarvaSrotrARAm AkASam pratizWA sarvaSabdAnAm ca
sp008-001597_YS_35	yaToktam tulyadeSaSravaRAnAm EkadeSaSrutitvam sarvezAm BavatIti
sp008-001598_YS_35	tacca etadAkASasya liNgam anAvaraRam coktam
sp008-001599_YS_35	taTA amUrtasya anAvaraRadarSanAt viButvamapi praKyAtam AkASasya
sp008-001600_YS_35	SabdagrahaRAnumitam Srotram
sp008-001601_YS_35	baDirAbaDirayoH ekaH Sabdam gfhRAti aparo na gfhRAti iti tasmAt Srotrameva Sabdavizayam
sp008-001602_YS_35	SrotrAkASayoH sambanDe kftasaMyamasya yogino divyam Srotram pravartate
sp008-001603_YS_35	kAyAkASayoH sambanDasaMyamAt laGutUlasamApatteScAkASagamanam
sp008-001604_YS_35	yatra kAyaH tatra AkASam tasya avakASadAnAt kAyasya tena sambanDaH prAptiH
sp008-001605_YS_35	tatra kftasaMyamo jitvA tatsambanDam laGuzu tUlAdizu AparamARuByaH samApattim labDvA jitasambanDo laGuH
sp008-001606_YS_35	laGutvAcca jale pAdAByAm viharati tataH tUrRanABitantumAtre vihftya raSmizu viharati tato yaTezwam AkASagatiH asya BavatIti
sp008-001607_YS_35	bahirakalpitA vfttirmahAvidehA tataH prakASAvaraRakzayaH
sp008-001608_YS_35	SarIrAt bahiH manasaH vfttilABaH videhA nAma DAraRA
sp008-001609_YS_35	sA yadi SarIrapratizWasya manasaH bahiH vfttimAtreRa Bavati sA kalpitA ityucyate
sp008-001610_YS_35	yA tu SarIranirapekzA bahirBUtasyEva manaso bahirvfttiH sA Kalu akalpitA
sp008-001611_YS_35	tatra kalpitayA sADayati akalpitAm mahAvidehAm iti yayA paraSarIrARi AviSanti yoginaH
sp008-001612_YS_35	tataSca DAraRAtaH prakASAtmano budDisattvasya yadAvaraRam kleSakarmavipAkatrayam rajastamomUlam tasya ca kzayo Bavati
sp008-001613_YS_36	sTUlasvarUpa sUkzmAnvayArTavattvasaMyamAdBUtajayaH
sp008-001614_YS_36	tatra pArTivAdyAH SabdAdayo viSezAH sahAkArAdiBirDarmEH sTUlaSabdena pariBAzitAH
sp008-001615_YS_36	etadBUtAnAm praTamam rUpam
sp008-001616_YS_36	dvitIyam rUpam svasAmAnyam
sp008-001617_YS_36	mUrtiH BUmiH sneho jalam vahniruzRatA vAyuH praRAmI sarvatogatiH AkASaH ityetatsvarUpaSabdena ucyate
sp008-001618_YS_36	asya sAmAnyasya SabdAdayo viSezAH
sp008-001619_YS_36	taTA coktam ekajAtisamanvitAnAm ezAm DarmamAtravyAvfttiH iti sAmAnyaviSezasamudAyaH atra dravyam
sp008-001620_YS_36	dvizWo hi samUhaH
sp008-001621_YS_36	pratyastamitaBedAvayavAnugataH
sp008-001622_YS_36	SarIram vfkzo yUTam vanam iti
sp008-001623_YS_36	SabdenopAttaBedAvayavAnugataH samUhaH
sp008-001624_YS_36	uBaye devamanuzyAH
sp008-001625_YS_36	samUhasya devAH eko BAgaH manuzyAH dvitIyo BAgaH tAByAmeva aBiDIyate samUhaH
sp008-001626_YS_36	sa ca BedABedavivakzitaH
sp008-001627_YS_36	AmrARAm vanam brAhmaRAnAm saNGaH Amravanam brAhmaRasaNGaH iti
sp008-001628_YS_36	sa punaH dviviDaH yutasidDAvayavaH saNGAtaH SarIram vfkzaH paramARuH iti
sp008-001629_YS_36	ayutasidDAvayavaBedAnugataH samUho dravyamiti pataYjaliH
sp008-001630_YS_36	etatsvarUpam ityuktam
sp008-001631_YS_36	aTa kimezAm sUkzmarUpam
sp008-001632_YS_36	tanmAtram BUtakAraRam tasya ekaH avayavaH paramARuH sAmAnyaviSezAtmA ayutasidDAvayavaBedAnugataH samudAya iti
sp008-001633_YS_36	evam sarvatanmAtrARi etad dvitIyam
sp008-001634_YS_36	aTa BUtAnAm caturTam rUpam KyAtikriyAsTitiSIlA guRAH kAryasvaBAvAnupAtinaH anvayaSabdena uktAH
sp008-001635_YS_36	aTa ezAm paYcamam rUpam arTavattvam BogApavargArTatA guRezveva anvayinI guRAH tanmAtraBUtaBOtikezviti sarvam arTavat
sp008-001636_YS_36	tezu idAnImBUtezu paYcasu paYcarUpezu saMyamAt tasya tasya rUpasya svarUpadarSanam jayaSca prAdurBavati
sp008-001637_YS_36	tatra paYcaBUtasvarUpARi jitvA BUtajayo Bavati tajjayAt vatsAnusAriRyaH iva gAvoऽsya saNkalpAnuviDAyinyo BUtaprakftayo Bavanti
sp008-001638_YS_36	tatoऽRimAdiprAdurBAvaH kAyasampat tadDarmAnaBiGAtaSca
sp008-001639_YS_36	tatra aRimA Bavati aRu
sp008-001640_YS_36	laGimA laGurBavati
sp008-001641_YS_36	mahimA mahAn Bavati
sp008-001642_YS_36	prAptiH aNgulyagreRApi spfSati candramasam
sp008-001643_YS_36	prAkAmyam icCAnaBiGAtaH
sp008-001644_YS_36	BUmO unmajjati nimajjati yaTA udake
sp008-001645_YS_36	vaSitvam BUtaBOtikezu vaSI Bavati avaSyaSca anyezAm
sp008-001646_YS_36	ISitftvam tezAm praBavApyayavyUhAnAm Izwe
sp008-001647_YS_36	yatra kAmAvasAyitvam satyasaNkalpatA yaTA saNkalpaH taTA BUtaprakftInAm avasTAnam
sp008-001648_YS_36	na ca Saktoऽpi padArTaviparyAsam karoti
sp008-001649_YS_36	kasmAt anyasya yatra kAmAvasAyinaH pUrvasidDasya taTABUtezu saNkalpAt iti
sp008-001650_YS_36	etAni azwO ESvaryARi
sp008-001651_YS_36	kAyasampat vakzyamARA
sp008-001652_YS_36	tadDarmAnaBiGAtaSca pfTvI mUrtyA na niruRadDi yoginaH SfNgArAdikriyAm SilAmapi anupraviSatIti
sp008-001653_YS_36	nApaH snigDAH kledayanti
sp008-001654_YS_36	nAgniruzRo dahati
sp008-001655_YS_36	na vAyuH praRAmI vahati
sp008-001656_YS_36	anAvaraRAtmakeऽpi AkAro Bavati AvftakAyaH sidDAnAmapi adfSyo Bavati
sp008-001657_YS_36	rUpalAvaRyabalavajrasaMhananatvAni kAyasampat
sp008-001658_YS_36	darSanIyaH kAntimAn atiSayabalo vajrasaMhananaSca iti
sp008-001659_YS_36	grahaRasvarUpAsmitAnvayArTavattvasaMyamAdindriyajayaH
sp008-001660_YS_36	sAmAnyaviSezAtmA SabdAdiH grAhyaH
sp008-001661_YS_36	tezu indriyARAm vfttiH grahaRam
sp008-001662_YS_36	na ca tat sAmAnyamAtragrahaRAkAram
sp008-001663_YS_36	kaTam anAlocitaH sa vizayaviSezaH indriyeRa manasA anuvyavasIyeta iti
sp008-001664_YS_36	svarUpam punaH prakASAtmano budDisattvasya sAmAnyaviSezayoH ayutasidDAvayavaBedAnugataH samUho dravyamindriyam
sp008-001665_YS_36	tezAm tftIyam rUpam asmitAlakzaRaH ahaNkAraH
sp008-001666_YS_36	tasya sAmAnyasya indriyARi viSezAH
sp008-001667_YS_36	caturTam rUpam vyavasAyAtmakAH prakASakriyAsTitiSIlAH guRAH
sp008-001668_YS_36	yezAm indriyARi sAhaNkArARi pariRAmAH
sp008-001669_YS_36	paYcamam rUpam guRezu yadanugatam puruzArTavattvam iti
sp008-001670_YS_36	paYcasvetezu indriyarUpezu yaTAkramam saMyamaH tatra tatra jayam kftvA paYcarUpajayAt indriyajayaH prAdurBavati yoginaH
sp008-001671_YS_37	tato manojavitvam vikaraRaBAvaH praDAnajayaSca
sp008-001672_YS_37	kAyasya anuttamo gatilABaH manojavitvam
sp008-001673_YS_37	videhAnAm indriyARAm aBipretadeSakAlavizayApekzaH vfttilABaH vikaraRaBAvaH
sp008-001674_YS_37	sarvaprakftivikAravaSitvam praDAnajayaH iti
sp008-001675_YS_37	etAH tisraH sidDayaH maDupratIkAH ucyante
sp008-001676_YS_37	etASca karaRapaYcakarUpajayAt aDigamyante
sp008-001677_YS_37	sattvapuruzAnyatAKyAtimAtrasya sarvaBAvADizWAtftvam sarvajYAtftvam ca
sp008-001678_YS_37	nirDUtarajastamomalasya budDisattvasya pare vESAradye parasyAm vaSIkArasaYjYAyAm vartamAnasya sattvapuruzAnyatAKyAtimAtrarUpapratizWasya sarvaBAvADizWAtftvam
sp008-001679_YS_37	sarvAtmAnaH guRAH vyavasAyavyavaseyAtmakAH svAminam kzetrajYam pratyaSezadfSyAtmatvena upatizWante ityarTaH
sp008-001680_YS_37	sarvajYAtftvam sarvAtmanAm guRAnAm SAntoditAvyapadeSyaDarmatvena vyavasTitAnAm akramopArUQam vivekajam jYAnam ityarTaH
sp008-001681_YS_37	ityezA viSokA nAma sidDiH yAm prApya yogI sarvajYaH kzIRakleSabanDanaH vaSI viharati
sp008-001682_YS_37	tadvErAgyAdapi dozabIjakzaye kEvalyam
sp008-001683_YS_37	yadA asya evam Bavati kleSakarmakzaye sattvasya ayam vivekapratyayo DarmaH
sp008-001684_YS_37	sattvam ca heyapakze nyastam puruzaSca apariRAmI SudDoऽnyaH sattvAditi
sp008-001685_YS_37	evam asya tato virajyamAnasya yAni kleSabIjAni dagDaSAlibIjakalpAni aprasavasamarTAni tAni saha manasA pratyastam gacCanti
sp008-001686_YS_37	tezu pralInezu puruzaH punaridam tApatrayam na BuNkte
sp008-001687_YS_37	tadetezAm guRAnAm manasi karmakleSavipAka svarUpeRa aBivyaktAnAm caritArTAnAm pratiprasave puruzasya Atyantiko guRaviyogaH kEvalyam
sp008-001688_YS_37	tadA svarUpapratizWA citiSaktireva puruzaH iti
sp008-001689_YS_37	sTAnyupanimantraRe saNgasmayAkaraRam punaranizwaprasaNgAt
sp008-001690_YS_37	catvAraH KalvamI yoginaH
sp008-001691_YS_37	praTamakalpikaH maDuBUmikaH prajAjyotiH atikrAntaBAvanIyaSca iti
sp008-001692_YS_37	tatra aByAsI pravfttamAtrajyotiH praTamaH
sp008-001693_YS_37	ftamBaraprajYo dvitIyaH
sp008-001694_YS_37	BUtendriyajayI tftIyaH
sp008-001695_YS_37	sarvezu BAvitezu BAvanIyezu kftarakzAbanDaH kftakartavyasADanAdimAn
sp008-001696_YS_37	caturTo yastu atikrAntaBAvanIyaH tasya cittapratisargaH ekaH arTaH
sp008-001697_YS_37	saptaviDAsya prAntaBUmiprajYA
sp008-001698_YS_37	tatra maDumatIm BUmim sAkzAtkurvato brAhmaRasya sTAnino devAH sattvaSudDim anupaSyantaH sTAnEH upanimantrayante
sp008-001699_YS_37	BoH iha AsyatAm iha ramyatAm kamanIyoऽyam BogaH
sp008-001700_YS_37	kamanIyA iyam kanyA
sp008-001701_YS_37	rasAyanamidam jarAmftyU bADate
sp008-001702_YS_37	vEhAyasamidam yAnamamI kalpadrumAH puRyA mandAkinI sidDA maharzayaH uttamA anukUlA apsarasaH
sp008-001703_YS_37	divye SrotracakzuzI vajropamaH kAyaH
sp008-001704_YS_37	svaguREH sarvamidam upArjitam AyuzmatA
sp008-001705_YS_37	pratipadyatAm idam akzayam ajarasTAnam devAnAm priyam iti
sp008-001706_YS_37	evam aBiDIyamAnaH saNgadozAn BAvayet Gorezu
sp008-001707_YS_37	saMsArANgArezu pacyamAnena mayA jananamaraRAnDakAre viparivartamAnena kaTaYcit AsAditaH kleSatimiravinASo yogapradIpaH
sp008-001708_YS_37	tasya cEte tfzRAyonayo vizayavAyavaH pratipakzAH
sp008-001709_YS_37	sa Kalvaham labDAlokaH kaTam anayA vizayamfgatfzRayA vaYcitaH
sp008-001710_YS_37	tasyEva punaH pradIptasya saMsArAgneH AtmAnam inDanIkuryAm iti
sp008-001711_YS_37	svasti vaH svapnopameByaH kfpaRajanaprArTanIyeByaH vizayeByaH ityevam niScitamatiH samADim BAvayet
sp008-001712_YS_37	saNgamakftvA smayamapi na kuryAt evamaham devAnAmapi prArTanIyaH iti
sp008-001713_YS_37	smayAdayam susTitammanyatayA mftyunA keSezu gfhItamiva AtmAnam na BAvayizyati
sp008-001714_YS_37	taTA cAsya CidrAntaraprekzI nityam yatnopacaryaH pramAdo labDavivaraH kleSAn uttamBayizyati
sp008-001715_YS_37	tataH punaranizwaprasaNgaH evamasya saNgasmayAvakurvato BAvitoऽrTo dfQIBavizyati
sp008-001716_YS_37	BAvanIyaScArTo aBimuKIBavizyatIti
sp008-001717_YS_38	kzaRatatkramayoH saMyamAdvivekajam jYAnam
sp008-001718_YS_38	yaTA apakarzaparyantam dravyam paramARurevam paramApakarzaparyantaH kAlaH kzaRaH
sp008-001719_YS_38	yAvatA vA samayena calitaH paramARuH pUrvadeSam jahyAt taduttaradeSam upasampadyeta sa kAlaH kzaRaH
sp008-001720_YS_38	tatpravAhAvicCedastu kramaH
sp008-001721_YS_38	kzaRatatkramayoH nAsti vastusamAhAraH iti budDisamAhAro muhUrtAhorAtrAdayaH
sp008-001722_YS_38	sa Kalvayam kAlo vastuSUnyo budDinirmARaH SabdajYAnAnupAtI lOkikAnAm vyutTitadarSanAnAm vastusvarUpa iva avaBAsate
sp008-001723_YS_38	kzaRastu vastupatitaH kramAvalambI kramaSca kzaRAnantaryAtmA
sp008-001724_YS_38	tam kAlavidaH kAla ityAcakzate yoginaH
sp008-001725_YS_38	na ca dvO kzaRO saha BavataH
sp008-001726_YS_38	kramaSca na dvayoH sahaBuvoH asamBavAt
sp008-001727_YS_38	pUrvasmAt uttaraBAvinaH yadA Anantaryam kzaRasya sa kramaH
sp008-001728_YS_38	tasmAt vartamAnaH evEkaH kzaRo na pUrvottarakzaRAH santIti
sp008-001729_YS_38	tasmAt nAsti tatsamAhAraH
sp008-001730_YS_38	ye tu BUtaBAvinaH kzaRAH te pariRAmAnvitA vyAKyeyAH
sp008-001731_YS_38	tena ekena kzaRena kftsnaH lokaH pariRAmam anuBavati
sp008-001732_YS_38	tatkzaRopArUQAH KalvamI DarmAH
sp008-001733_YS_38	tayoH kzaRatatkramayoH saMyamAt tayoH sAkzAtkaraRam
sp008-001734_YS_38	tataSca vivekajam jYAnam prAdurBavati
sp008-001735_YS_38	tasya vizayaviSeza upakzipyate
sp008-001736_YS_38	jAtilakzaRadeSEranyatAऽnavacCedAt tulyayostataH pratipattiH
sp008-001737_YS_38	tulyayoH deSalakzaRasArUpye jAtiBedaH anyatAyAH hetuH gOriyam baqaveyam iti
sp008-001738_YS_38	tulyadeSajAtIyatve lakzaRam anyatvakaram kAlAkzI gOH svastimatI gOriti
sp008-001739_YS_38	dvayoH AmalakayoH jAtilakzaRasArUpyAt deSaBedoऽnyatvakaraH idam pUrvam idamuttaramiti
sp008-001740_YS_38	yadA tu pUrvam Amalakam anyavyagrasya jYAtuH uttaradeSa upAvartyate tadA tulyadeSatve pUrvametat uttarametaditi praviBAgAnupapattiH
sp008-001741_YS_38	asandigDena ca tattvajYAnena Bavitavyam ityataH idamuktam tataH pratipattiH vivekajajYAnAditi
sp008-001742_YS_38	kaTam pUrvAmalakasahakzaRo deSaH uttarAmalakasahakzaRadeSAt BinnaH
sp008-001743_YS_38	te cAmalake svadeSakzaRAnuBavaBinne
sp008-001744_YS_38	anyadeSakzaRAnuBavastu tayoH anyatve heturiti
sp008-001745_YS_38	etena dfzwAntena paramARoH tulyajAtilakzaRadeSasya pUrvaparamARudeSasahalakzaRasAkzAtkaraRAt uttarasya paramARoH taddeSAnupapattO uttarasya taddeSAnuBavo BinnaH sahakzaRaBedAt tayoH ISvarasya yoginaH anyatvapratyayo BavatIti
sp008-001746_YS_38	apare tu varRayanti ye antyAH viSezAH te anyatApratyayam kurvantIti
sp008-001747_YS_38	tatrApi deSalakzaRaBedo mUrtivyavaDijAtiBedaSca anyatvahetuH
sp008-001748_YS_38	kzaRaBedastu yogibudDigamya eveti
sp008-001749_YS_38	ata uktam mUrtivyavaDijAtiBedABAvAt nAsti mUlapfTaktvam iti vArzagaRyaH
sp008-001750_YS_38	tArakam sarvavizayam sarvaTAvizayamakramam ceti vivekajam jYAnam
sp008-001751_YS_38	tArakam iti svapratiBotTam anOpadeSikam ityarTaH
sp008-001752_YS_38	sarvavizayam nAsya kiYcidavizayIBUtam ityarTaH
sp008-001753_YS_38	sarvaTAvizayam atItAnAgatapratyutpannam sarvam sarvaTA jAnAti ityarTaH
sp008-001754_YS_38	akramam ityekakzaRoparUQam sarvam sarvaTA gfhRAti ityarTaH
sp008-001755_YS_38	etat vivekajam jYAnam paripUrRam
sp008-001756_YS_38	asyEva aMSaH yogapradIpaH maDumatIBUmim upAdAya yAvadasya parisamAptiH iti
sp008-001757_YS_38	prAptavivekajajYAnasya aprAptavivekajajYAnasya vA
sp008-001758_YS_38	sattvapuruzayoH SudDisAmye kEvalyamiti
sp008-001759_YS_38	yadA nirDUtarajastamomalam budDisattvam sattvapuruzasya anyatApratyayamAtrADikAram dagDakleSabIjam Bavati
sp008-001760_YS_38	tadA puruzasya SudDisArUpyam iva Apannam Bavati
sp008-001761_YS_38	tadA puruzasya upacaritaBogABAvaH SudDiH
sp008-001762_YS_38	etasyAm avasTAyAm kEvalyam Bavati ISvarasya anISvarasya vA vivekajajYAnaBAginaH itarasya vA
sp008-001763_YS_38	na hi dagDakleSabIjasya jYAne punarapekzA kAcidasti
sp008-001764_YS_38	sattvaSudDidvAreRa etatsamADijam ESvaryam ca jYAnam ca upakrAntam
sp008-001765_YS_38	paramArTatastu jYAnAt adarSanam nivartate
sp008-001766_YS_38	tasmin nivftte na santi uttare kleSAH
sp008-001767_YS_38	kleSABAvAt karmavipAkABAvaH
sp008-001768_YS_38	caritADikArASca etasyAm avasTAyAm guRAH na puruzasya dfSyatvena punaH upatizWante
sp008-001769_YS_38	tatpuruzasya kEvalyam
sp008-001770_YS_38	tadA puruzaH svarUpamAtrajyotiH amalaH kevalI Bavati
sp008-001771_YS_38	iti SrIBagavatpataYjaliviracite yogasUtre tftIyaH viBUtipAdaH
sp008-001772_YS_39	caturTaH kEvalyapAdaH
sp008-001773_YS_39	janmOzaDimantratapaHsamADijAH sidDayaH
sp008-001774_YS_39	dehAntaritA janmanA sidDiH
sp008-001775_YS_39	OzaDiBiH asuH aBavanezu rasAyanena ityevamAdi
sp008-001776_YS_39	mantrEH AkASagamanARimAdilABaH
sp008-001777_YS_39	tapasA saNkalpasidDiH kAmarUpI yatra tatra kAmaga ityevamAdi
sp008-001778_YS_39	samADijAH sidDayo vyAKyAH
sp008-001779_YS_39	tatra kAyendriyARAm anyajAtIyapariRatAnAm
sp008-001780_YS_39	jAtyantarapariRAmaH prakftyApUrAt
sp008-001781_YS_39	pUrvapariRAmApAye uttarapariRAmopajanaH tezAm apUrvAvayavAnupraveSAt Bavati
sp008-001782_YS_39	kAyendriyaprakftayaSca svam svam vikAram anugfhRanti ApUreRa DarmAdinimittam apekzamARAH iti
sp008-001783_YS_39	nimittamaprayojakam prakftInAm varaRaBedastu tataH kzetrikavat
sp008-001784_YS_39	na hi DarmAdinimittam prayojakam prakftInAm Bavati
sp008-001785_YS_39	na kAryeRa kAraRam pravartyate iti
sp008-001786_YS_39	kaTam tarhi varaRaBedastu tataH kzetrikavat
sp008-001787_YS_39	yaTA kzetrikaH kedArAt apAm pUraRAt kedArAntaram piplAvayizuH samam nimnam nimnataram vA nApaH pARinApakarzati AvaraRam tvAsAm Binatti
sp008-001788_YS_39	tasmin Binne svayameva ApaH kedArAntaram AplAvayanti
sp008-001789_YS_39	taTA DarmaH prakftInAm AvaraRam aDarmam Binatti
sp008-001790_YS_39	tasmin Binne svayameva prakftayaH svam svam vikAram AplAvayanti
sp008-001791_YS_39	yaTA vA sa eva kzetrikaH tasminneva kedAre na praBavati OdakAn BOmAn vA rasAn DAnyamUlAni anupraveSayitum
sp008-001792_YS_39	kim tarhi mudga gaveDuka SyAmAkAdIn tataH apakarzati
sp008-001793_YS_39	apakfzwezu tezu svayameva rasA DAnyamUlAni anupraviSanti
sp008-001794_YS_39	taTA Darmo nivfttimAtre kAraRam aDarmasya
sp008-001795_YS_39	SudDyaSudDyoH atyantaviroDAt
sp008-001796_YS_39	na tu prakftipravfttO Darmo heturBavatIti
sp008-001797_YS_39	atra nandISvarAdayaH udAhAryAH
sp008-001798_YS_39	viparyayeRApi aDarmo Darmam bADate
sp008-001799_YS_39	tataSca aSudDipariRAma iti
sp008-001800_YS_39	atrApi nahuzAjagarAdayaH udAhAryAH
sp008-001801_YS_39	tadA tu yogI bahUn kAyAnnirmimIte tadA kimekamanaskAste Bavanti aTa anekamanaskA iti
sp008-001802_YS_39	nirmARacittAnyasmitAmAtrAt
sp008-001803_YS_39	asmitAmAtram cittakAraRam upAdAya nirmARacittAni karoti tataH sacittAni Bavanti
sp008-001804_YS_39	pravfttiBede prayojakam cittam ekam anekezAm
sp008-001805_YS_39	bahUnAm cittAnAm kaTam ekacittABiprAyapuraHsarA pravfttiriti sarvacittAnAm prayojakam cittamekam nirmimIte
sp008-001806_YS_39	tataH pravfttiBedaH
sp008-001807_YS_39	tatra DyAnajamanASayam
sp008-001808_YS_39	paYcaviDam nirmARacittam
sp008-001809_YS_39	janmOzaDimantratapaHsamADijAH sidDayaH iti
sp008-001810_YS_39	tatra yadeva DyAnajam cittam tadeva anASayam tasyEva nAstyASayo rAgAdipravfttiH nAtaH puRyapApABisambanDaH
sp008-001811_YS_39	kzIRakleSatvAt yogina iti
sp008-001812_YS_39	itarezAm tu vidyate karmASayaH
sp008-001813_YS_39	yataH karmASuklAkfzRam yoginaH triviDamitarezAm
sp008-001814_YS_39	catuzpadI Kalviyam karmajAtiH kfzRA SuklakfzRA SuklA aSuklAkfzRA ceti
sp008-001815_YS_39	tatra kfzRA durAtmanAm
sp008-001816_YS_39	SuklakfzRA bahiHsADanasADyA tatra parapIqAnugrahadvAreREva karmASayapracayaH
sp008-001817_YS_39	SuklA tapaHsvADyAya DyAnavatAm
sp008-001818_YS_39	sA hi kevale manasi AyattatvAt bahiHsADanADInA na parAn pIqayitvA Bavati
sp008-001819_YS_39	aSuklAkfzRA sannyAsinAm kzIRakleSAnAm caramadehAnAm iti
sp008-001820_YS_39	tatra aSuklam yoginaH eva PalasannyAsAt akfzRam ca anupAdAnAt
sp008-001821_YS_39	itarezAm tu BUtAnAm pUrvameva triviDamiti
sp008-001822_YS_39	tatastadvipAkAnuguRAnAm eva aBivyaktiH vAsanAnAm
sp008-001823_YS_39	tata iti triviDAt karmaRaH
sp008-001824_YS_39	tadvipAkAnuguRAnAm eveti
sp008-001825_YS_39	yajjAtIyasya karmaRo yo vipAkaH tasyAnuguRA yA vAsanAH karmavipAkam anuSerate
sp008-001826_YS_39	tAsAmeva aBivyaktiH
sp008-001827_YS_39	na hi dEvam karma vipacyamAnam nArakatiryaNmanuzyavAsanABivyaktinimittam Bavati
sp008-001828_YS_39	kintu dEvAnuguRA eva asya vAsanA vyajyate
sp008-001829_YS_39	nArakatiryaNmanuzyezu cEvam samAnaScarcaH
sp008-001830_YS_40	jAtideSakAlavyavahitAnAm apyAnantaryam smftisaMskArayorekarUpatvAt
sp008-001831_YS_40	vfzadaMSavipAkodayaH svavyaYjakAYjanABivyaktaH
sp008-001832_YS_40	sa yadi jAtiSatena vA dUradeSatayA vA kalpaSatena vA vyavahitaH punaSca svavyaYjakAYjana eva udiyAt
sp008-001833_YS_40	drAgityeva pUrvAnuBUta vfzadaMSa vipAkABisaMskftA vAsanA upAdAya vyajyeta
sp008-001834_YS_40	kasmAt yato vyavahitAnAmapyAsAm sadfSam karam aBivyaYjakam nimittIBUtam ityAnantaryameva
sp008-001835_YS_40	kutaSca smftisaMskArayoH ekarUpatvAt
sp008-001836_YS_40	yaTA anuBavAH taTA saMskArAH
sp008-001837_YS_40	te ca karmavAsanAnurUpAH
sp008-001838_YS_40	yaTA ca vAsanAH taTA smftiriti jAtideSakAlavyavahiteByaH saMskAreByaH smftiH
sp008-001839_YS_40	smfteSca punaH saMskArAH ityevam ete smftisaMskArAH karmASayavfttilABavaSAt vyajyante
sp008-001840_YS_40	ataSca vyavahitAnAmapi nimittanEmittikaBAvAnucCedAt Anantaryameva sidDamiti
sp008-001841_YS_40	tAsAmanAditvam cASizo nityatvAt
sp008-001842_YS_40	tAsAm vAsanAnAm ASizaH nityatvAt anAditvam
sp008-001843_YS_40	yA iyam AtmASIH mA na BUvam BUyAsam iti sarvasya dfSyate sA na svABAvikI
sp008-001844_YS_40	kasmAt jAtamAtrasya jantoH ananuBUtamaraRaDarmakasya dvezaH duHKAnusmftinimittaH maraRatrAsaH kaTam Bavet
sp008-001845_YS_40	na ca svABAvikam vastu nimittam upAdatte
sp008-001846_YS_40	tasmAt anAdivAsanAnuvidDam idam cittam nimittavaSAt kaScideva vAsanAH pratilaBya
sp008-001847_YS_40	puruzasya BogAya upAvartata iti
sp008-001848_YS_40	GawaprAsAdapradIpakalpam saNkocavikASi cittam SarIraparimARAkAramAtram ityapare pratipannAH
sp008-001849_YS_40	taTA ca AntarABAvaH saMsAraSca yukta iti
sp008-001850_YS_40	vfttireva asya viBunaH cittasya saNkocavikASinI ityAcAryaH
sp008-001851_YS_40	tacca DarmAdinimittApekzam
sp008-001852_YS_40	nimittam ca dviviDam bAhyam ADyAtmikam ca
sp008-001853_YS_40	SarIrAdisADanApekzam bAhyam stutidAnABivAdanAdi
sp008-001854_YS_40	cittamAtrADInam SradDAdyADyAtmikam
sp008-001855_YS_40	taTA coktam ye cEte mEtryAdayaH DyAyinAm vihArAH te bAhyasADananiranugrahAtmaH prakfzwam Darmam aBinivartayanti
sp008-001856_YS_40	tayoH mAnasam balIyaH
sp008-001857_YS_40	kaTam jYAnavErAgye kena atiSayyete
sp008-001858_YS_40	daRqakAraRyam ca cittabalavyatirekeRa kaH SarIreRa karmaRA SUnyam kartum utsaheta
sp008-001859_YS_40	samudram agastyavadvA pibeta
sp008-001860_YS_40	hetuPalASrayAlambanEH saNgfhItatvAdezAmaBAve tadaBAvaH
sp008-001861_YS_40	hetuH DarmAt suKam aDarmAt duHKam
sp008-001862_YS_40	suKAt rAgaH duHKAt dvezaH
sp008-001863_YS_40	tataSca prayatnaH
sp008-001864_YS_40	tena manasA vAcA kAyena vA parispandamAnaH param anugfhRAti upahanti vA
sp008-001865_YS_40	tataH punaH DarmADarmO suKaduHKe rAgadvezO iti pravfttam idam zaqaram saMsAracakram
sp008-001866_YS_40	asya ca pratikzaRam AvartamAnasya avidyA netrI
sp008-001867_YS_40	mUlam sarvakleSAnAm ityezaH hetuH
sp008-001868_YS_40	Palam tu yam ASritya yasya pratyutpannA DarmAdeH na hi apUrvopajanaH
sp008-001869_YS_40	manastu sADikAram ASrayaH vAsanAnAm
sp008-001870_YS_40	na hi avasitADikAre manasi nirASrayA vAsanAH sTAtum utsahante
sp008-001871_YS_40	yadaBimuKIBUtam vastu yAm vAsanAm vyanakti tasyAH tadAlambanam
sp008-001872_YS_40	evam hetuPalASrayAlambanEH etEH saNgfhItAH sarvA vAsanAH
sp008-001873_YS_40	ezAm aBAve tatsaMSrayARAmapi vAsanAnAm aBAvaH
sp008-001874_YS_40	nAsti asataH samBavaH
sp008-001875_YS_40	na cAsti sato vinASaH iti dravyatvena samBavatyaH kaTam nivartizyante vAsanAH iti
sp008-001876_YS_40	atItAnAgatam svarUpatoऽstyaDvaBedAt DarmARAm
sp008-001877_YS_41	Bavizyadvyaktikam anAgatam
sp008-001878_YS_41	anuBUtavyaktikam atItam
